VG2017:AS080;VG2017:VG'A'Ahu26'OpModSwi4;present-value;;;VT_BOOL;1;195;DI;Tableauschalter #Lueft.Cafeteria ;;2017VGAL26X001S1;;0;0;0;0;120;DI;0;14;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'A'Ahu26'OpModSwi;present-value;;;VT_BOOL;1;195;DI;Fernschalter #Lueft.Cafeteria ;;2017VGAL26X001S2;;0;0;0;0;120;DI;0;15;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'A'Ahu26'FdmpSu'FbMon01'Alm;present-value;;;VT_BOOL;1;27;DI;AUL-BSK #Lueft.Cafeteria ;;2017VGAL26Y741D2;;0;0;0;0;120;DI;0;16;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'Ahu26'FdmpSu'FbMon02'Alm;present-value;;;VT_BOOL;1;27;DI;ZUL-BSK #Lueft.Cafeteria ;;2017VGAL26Y742D2;;0;0;0;0;120;DI;0;17;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'Ahu26'FdmpSu'FbMon03'Alm;present-value;;;VT_BOOL;1;27;DI;ABL-BSK #Lueft.Cafeteria ;;2017VGAL26Y770D2;;0;0;0;0;120;DI;0;18;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'AfAs80'CmnAlm2;present-value;;;VT_BOOL;1;27;DI;Sammelalarm Prio.1 #Tableau T08 ;;2017VGAT08D000D0;;0;0;0;0;120;DI;0;19;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'A'AfAs80'CmnAlm3;present-value;;;VT_BOOL;1;27;DI;Sammelalarm Prio.2 #Tableau T08 ;;2017VGAT08D001D0;;0;0;0;0;120;DI;0;20;DI;0;0;0;1;//
VG2017:AS080;VG2017:VG'A'AfAs80'VoltPh3N;present-value;;;VT_BOOL;1;27;DI;Spannung Phase 3-N #Tableau T08 ;;2017VGAT08F000D0;;0;0;0;0;120;DI;0;21;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'AfAs80'AlmFuLs;present-value;;;VT_BOOL;1;27;DI;LS-Ueberwachung #Tableau T08 ;;2017VGAT08F001D0;;0;0;0;0;120;DI;0;22;DI;0;0;0;2;//
VG2017:AS080;VG2017:VG'A'AfAs80'AlmDis;present-value;;;VT_BOOL;1;27;DI;Alarmunterdrueckung #Tableau T08 ;;2017VGAT08S010D0;;0;0;0;0;120;DI;0;23;DI;0;0;0;1;//
